Код,Наименование,Тариф,Подробности
4823908595,"Бумага, картон, целлюлозная вата и полотно из целлюлозных волокон, прочие, нарезанные по размеру или форме; изделия из бумажной массы, бумаги, картона, целлюлозной ваты или полотна из целлюлозных волокон, прочие: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 напольные покрытия на основе бумаги или картона, нарезанные по размеру или нет, не включенные в товарную позицию 4811",10%,подробнее
4823908596,"Бумага, картон, целлюлозная вата и полотно из целлюлозных волокон, прочие, нарезанные по размеру или форме; изделия из бумажной массы, бумаги, картона, целлюлозной ваты или полотна из целлюлозных волокон, прочие: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 с клеем или самоклеящаяся бумага или картон, не включенные в товарную позицию 4811",10%,подробнее
4823908597,"Бумага, картон, целлюлозная вата и полотно из целлюлозных волокон, прочие, нарезанные по размеру или форме; изделия из бумажной массы, бумаги, картона, целлюлозной ваты или полотна из целлюлозных волокон, прочие: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 прочие: 🠺 прочие",5%,подробнее
4901100000,"Печатные книги, брошюры, листовки и аналогичные печатные материалы, сброшюрованные или в виде отдельных листов: 🠺 в виде отдельных листов, сфальцованные или несфальцованные",0%,подробнее
4901910000,"Печатные книги, брошюры, листовки и аналогичные печатные материалы, сброшюрованные или в виде отдельных листов: 🠺 прочие: 🠺 словари, энциклопедии и их серийные выпуски",0%,подробнее
4901990000,"Печатные книги, брошюры, листовки и аналогичные печатные материалы, сброшюрованные или в виде отдельных листов: 🠺 прочие: 🠺 прочие",0%,подробнее
4902100000,"Газеты, журналы и прочие периодические издания, иллюстрированные или неиллюстрированные, содержащие или не содержащие рекламный материал: 🠺 издаваемые не менее четырех раз в неделю",0%,подробнее
4902900000,"Газеты, журналы и прочие периодические издания, иллюстрированные или неиллюстрированные, содержащие или не содержащие рекламный материал: 🠺 прочие",0%,подробнее
4903000000,"Печатные книги, газеты, репродукции и другие изделия полиграфической промышленности; рукописи, машинописные тексты и планы 🠺 Книги-картинки, книги для рисования или для раскрашивания, детские",0%,подробнее
4904000000,"Печатные книги, газеты, репродукции и другие изделия полиграфической промышленности; рукописи, машинописные тексты и планы 🠺 Ноты, печатные или рукописные, в переплете или непереплетенные, иллюстрированные или неиллюстрированные",0%,подробнее
4905200000,"Карты географические и гидрографические или аналогичные карты всех видов, включая атласы, настенные карты, топографические планы и глобусы, отпечатанные: 🠺 в виде книг",0%,подробнее
4905900000,"Карты географические и гидрографические или аналогичные карты всех видов, включая атласы, настенные карты, топографические планы и глобусы, отпечатанные: 🠺 прочие",0%,подробнее
4906000000,"Печатные книги, газеты, репродукции и другие изделия полиграфической промышленности; рукописи, машинописные тексты и планы 🠺 Планы и чертежи для архитектурных, инженерных, промышленных, коммерческих, топографических или аналогичных целей, представляющие собой оригиналы, выполненные от руки; тексты рукописные; фоторепродукции на сенсибилизированной бумаге и подкопирочные экземпляры вышепоименованных товаров",0%,подробнее
4907001010,"почтовые марки, марки госпошлин и аналогичные марки: 🠺 акцизные марки подакцизных товаров",7.5%,подробнее
4907001090,"почтовые марки, марки госпошлин и аналогичные марки: 🠺 прочие",7.5%,подробнее
4907003000,"Почтовые марки, марки госпошлин или аналогичные марки, негашеные, текущего или нового выпуска в стране, в которой они имеют или будут иметь признанную номинальную стоимость; гербовая бумага; банкноты; чековые книжки; акции, облигации или боны и аналогичные виды ценных бумаг: 🠺 банкноты",0%,подробнее
4907009000,"Почтовые марки, марки госпошлин или аналогичные марки, негашеные, текущего или нового выпуска в стране, в которой они имеют или будут иметь признанную номинальную стоимость; гербовая бумага; банкноты; чековые книжки; акции, облигации или боны и аналогичные виды ценных бумаг: 🠺 прочие",5%,подробнее
4908100000,"Картинки переводные (декалькомания): 🠺 картинки переводные (декалькомания), способные стекловаться",10%,подробнее
4908900000,Картинки переводные (декалькомания): 🠺 прочие,10%,подробнее
4909000000,"Печатные книги, газеты, репродукции и другие изделия полиграфической промышленности; рукописи, машинописные тексты и планы 🠺 Открытки почтовые печатные или иллюстрированные; карточки с напечатанными поздравлениями, посланиями или сообщениями, иллюстрированные или неиллюстрированные, с конвертами или без конвертов, с украшениями или без украшений",10%,подробнее
4910000000,"Печатные книги, газеты, репродукции и другие изделия полиграфической промышленности; рукописи, машинописные тексты и планы 🠺 Печатные календари всех видов, включая отрывные",10%,подробнее
4911101001,товарные каталоги: 🠺 часов,0%,подробнее
4911101009,товарные каталоги: 🠺 прочие,5%,подробнее
4911109000,"материалы рекламные торговые, товарные каталоги и аналогичная продукция: 🠺 прочие",5%,подробнее
4911910000,"Печатные книги, газеты, репродукции и другие изделия полиграфической промышленности; рукописи, машинописные тексты и планы 🠺 Прочая печатная продукция, включая печатные репродукции и фотографии: 🠺 прочая: 🠺 репродукции, чертежи и фотографии",0%,подробнее
4911990000,"Печатные книги, газеты, репродукции и другие изделия полиграфической промышленности; рукописи, машинописные тексты и планы 🠺 Прочая печатная продукция, включая печатные репродукции и фотографии: 🠺 прочая: 🠺 прочие",10%,подробнее
5001000000,"Шелк 🠺 Коконы шелкопряда, пригодные для разматывания",5%,подробнее
5002000000,Шелк 🠺 Шелк-сырец (некрученый),5%,подробнее
5003000000,"Шелк 🠺 Отходы шелковые (включая коконы, непригодные для разматывания, отходы коконной нити и расщипанное сырье)",5%,подробнее
5004001000,"Нить шелковая (кроме пряжи из шелковых отходов), не расфасованная для розничной продажи: 🠺 неотбеленная, промытая или отбеленная",5%,подробнее
5004009000,"Нить шелковая (кроме пряжи из шелковых отходов), не расфасованная для розничной продажи: 🠺 прочая",5%,подробнее
5005001000,"Пряжа из шелковых отходов, не расфасованная для розничной продажи: 🠺 неотбеленная, промытая или отбеленная",5%,подробнее
5005009000,"Пряжа из шелковых отходов, не расфасованная для розничной продажи: 🠺 прочая",5%,подробнее
5006001000,"Нить шелковая и пряжа из шелковых отходов, расфасованные для розничной продажи; волокно из шелкоотделительных желез шелкопряда: 🠺 нить шелковая",5%,подробнее
5006009000,"Нить шелковая и пряжа из шелковых отходов, расфасованные для розничной продажи; волокно из шелкоотделительных желез шелкопряда: 🠺 пряжа из шелкового гребенного очеса или прочих шелковых отходов; волокно из шелкоотделительных желез шелкопряда",5%,подробнее
5007100000,Ткани из шелковых нитей или из шелковых отходов: 🠺 ткани из шелкового гребенного очеса,3%,подробнее
5007201100,"креповые ткани: 🠺 неотбеленные, промытые или отбеленные",3%,подробнее
5007201900,креповые ткани: 🠺 прочие,3%,подробнее
5007202100,"эпонж, хабутай, хонан, чесуча, кора и аналогичные дальневосточные ткани, выработанные полностью из шелковых нитей (не смешанных с шелковым гребенным очесом или другими шелковыми отходами, или с другими текстильными материалами): 🠺 полотняного переплетения, неотбеленные или не подвергнутые дальнейшей обработке, кроме промывания",3%,подробнее
5007203100,"эпонж, хабутай, хонан, чесуча, кора и аналогичные дальневосточные ткани, выработанные полностью из шелковых нитей (не смешанных с шелковым гребенным очесом или другими шелковыми отходами, или с другими текстильными материалами): 🠺 прочие: 🠺 полотняного переплетения",3%,подробнее
5007203900,"эпонж, хабутай, хонан, чесуча, кора и аналогичные дальневосточные ткани, выработанные полностью из шелковых нитей (не смешанных с шелковым гребенным очесом или другими шелковыми отходами, или с другими текстильными материалами): 🠺 прочие: 🠺 прочие",3%,подробнее
5007204100,"ткани прочие, содержащие 85 мас.% или более шелковых нитей или шелковых отходов, кроме шелкового гребенного очеса: 🠺 прочие: 🠺 просвечивающие ткани (ажурного переплетения)",3%,подробнее
5007205100,"ткани прочие, содержащие 85 мас.% или более шелковых нитей или шелковых отходов, кроме шелкового гребенного очеса: 🠺 прочие: 🠺 прочие: 🠺 неотбеленные, промытые или отбеленные",3%,подробнее
5007205900,"ткани прочие, содержащие 85 мас.% или более шелковых нитей или шелковых отходов, кроме шелкового гребенного очеса: 🠺 прочие: 🠺 прочие: 🠺 окрашенные",3%,подробнее
5007206100,"ткани прочие, содержащие 85 мас.% или более шелковых нитей или шелковых отходов, кроме шелкового гребенного очеса: 🠺 прочие: 🠺 прочие: 🠺 из пряжи различных цветов: 🠺 шириной более 57 см, но не более 75 см",3%,подробнее
5007206900,"ткани прочие, содержащие 85 мас.% или более шелковых нитей или шелковых отходов, кроме шелкового гребенного очеса: 🠺 прочие: 🠺 прочие: 🠺 из пряжи различных цветов: 🠺 прочие",3%,подробнее
5007207100,"ткани прочие, содержащие 85 мас.% или более шелковых нитей или шелковых отходов, кроме шелкового гребенного очеса: 🠺 прочие: 🠺 прочие: 🠺 напечатанные",3%,подробнее
5007901000,"ткани прочие: 🠺 неотбеленные, промытые или отбеленные",0%,подробнее
5007903000,ткани прочие: 🠺 окрашенные,3%,подробнее
5007905000,ткани прочие: 🠺 из пряжи различных цветов,3%,подробнее
5007909000,ткани прочие: 🠺 напечатанные,3%,подробнее
5101110001,шерсть стриженая: (с 12.04.2025) 🠺 тониной не более 25 мкм,3%,подробнее
5101110002,"шерсть стриженая: (с 12.04.2025) 🠺 тониной более 25 мкм, но не более 31 мкм",3%,подробнее
5101110003,"шерсть стриженая: (с 12.04.2025) 🠺 тониной более 31 мкм, но не более 40 мкм",3%,подробнее
5101110004,"шерсть стриженая: (с 12.04.2025) 🠺 тониной более 40 мкм, но не более 67 мкм",3%,подробнее
5101110009,шерсть стриженая: (с 12.04.2025) 🠺 прочая,3%,подробнее
5101190000,"немытая, включая шерсть, мытую в руне: 🠺 прочая",3%,подробнее
5101210001,шерсть стриженая: (с 12.04.2025) 🠺 тониной не более 25 мкм,3%,подробнее
5101210002,"шерсть стриженая: (с 12.04.2025) 🠺 тониной более 25 мкм, но не более 31 мкм",3%,подробнее
5101210003,"шерсть стриженая: (с 12.04.2025) 🠺 тониной более 31 мкм, но не более 40 мкм",3%,подробнее
5101210004,"шерсть стриженая: (с 12.04.2025) 🠺 тониной более 40 мкм, но не более 67 мкм",3%,подробнее
5101210009,шерсть стриженая: (с 12.04.2025) 🠺 прочая,3%,подробнее
5101290000,"мытая, некарбонизованная: 🠺 прочая",3%,подробнее
5101300001,карбонизованная: (с 12.04.2025) 🠺 тониной не более 25 мкм,3%,подробнее
5101300002,"карбонизованная: (с 12.04.2025) 🠺 тониной более 25 мкм, но не более 31 мкм",3%,подробнее
5101300003,"карбонизованная: (с 12.04.2025) 🠺 тониной более 31 мкм, но не более 40 мкм",3%,подробнее
5101300004,"карбонизованная: (с 12.04.2025) 🠺 тониной более 40 мкм, но не более 67 мкм",3%,подробнее
5101300009,карбонизованная: (с 12.04.2025) 🠺 прочая,3%,подробнее
5102110000,тонкий волос животных: 🠺 кашмирских коз,5%,подробнее
5102191000,тонкий волос животных: 🠺 прочий: 🠺 ангорского кролика,5%,подробнее
5102193000,"тонкий волос животных: 🠺 прочий: 🠺 альпаки, ламы или викуньи",5%,подробнее
5102194000,"тонкий волос животных: 🠺 прочий: 🠺 верблюда или яка, или коз ангорской, тибетской или подобных пород",5%,подробнее
5102199000,"тонкий волос животных: 🠺 прочий: 🠺 кролика (кроме ангорского кролика), зайца, бобра, нутрии или ондатры",5%,подробнее
5102200000,"Волос животных, тонкий или грубый, не подвергнутый кардо- или гребнечесанию: 🠺 грубый волос животных",5%,подробнее
5103101000,гребенные очесы шерсти или тонкого волоса животных: 🠺 некарбонизованные,5%,подробнее
5103109000,гребенные очесы шерсти или тонкого волоса животных: 🠺 карбонизованные,5%,подробнее
5103200000,"Отходы шерсти или тонкого или грубого волоса животных, включая прядильные отходы, но исключая расщипанное сырье: 🠺 отходы шерсти или тонкого волоса животных прочие",5%,подробнее
5103300000,"Отходы шерсти или тонкого или грубого волоса животных, включая прядильные отходы, но исключая расщипанное сырье: 🠺 отходы грубого волоса животных",5%,подробнее
5104000000,"Шерсть, тонкий или грубый волос животных; пряжа и ткань, из конского волоса 🠺 Расщипанное сырье из шерсти или тонкого или грубого волоса животных",5%,подробнее
5105100000,"Шерсть и тонкий или грубый волос животных, подвергнутые кардо- или гребнечесанию (включая шерсть, подвергнутую гребнечесанию, в отрезках): 🠺 шерсть, подвергнутая кардочесанию",5%,подробнее
5105210000,"гребенная лента шерстяная и прочая шерсть, подвергнутая гребнечесанию: 🠺 шерсть, подвергнутая гребнечесанию, в отрезках",5%,подробнее
5105290000,"гребенная лента шерстяная и прочая шерсть, подвергнутая гребнечесанию: 🠺 прочая",5%,подробнее
5105310000,"тонкий волос животных, подвергнутый кардо- или гребнечесанию: 🠺 кашмирских коз",5%,подробнее
5105390000,"тонкий волос животных, подвергнутый кардо- или гребнечесанию: 🠺 прочий",5%,подробнее
5105400000,"Шерсть и тонкий или грубый волос животных, подвергнутые кардо- или гребнечесанию (включая шерсть, подвергнутую гребнечесанию, в отрезках): 🠺 грубый волос животных, подвергнутый кардо- или гребнечесанию",5%,подробнее
5106101000,"Пряжа шерстяная аппаратного прядения, не расфасованная для розничной продажи: 🠺 с содержанием шерсти 85 мас.% или более: 🠺 неотбеленная",5%,подробнее
5106109000,"Пряжа шерстяная аппаратного прядения, не расфасованная для розничной продажи: 🠺 с содержанием шерсти 85 мас.% или более: 🠺 прочая",5%,подробнее
5106201000,"Пряжа шерстяная аппаратного прядения, не расфасованная для розничной продажи: 🠺 с содержанием шерсти менее 85 мас.%: 🠺 с содержанием шерсти и тонкого волоса животных 85 мас.% или более",5%,подробнее
5106209100,"Пряжа шерстяная аппаратного прядения, не расфасованная для розничной продажи: 🠺 с содержанием шерсти менее 85 мас.%: 🠺 прочая: 🠺 неотбеленная",5%,подробнее
5106209900,"Пряжа шерстяная аппаратного прядения, не расфасованная для розничной продажи: 🠺 с содержанием шерсти менее 85 мас.%: 🠺 прочая: 🠺 прочая",5%,подробнее
5107101000,"Пряжа шерстяная гребенного прядения, не расфасованная для розничной продажи: 🠺 с содержанием шерсти 85 мас.% или более: 🠺 неотбеленная",5%,подробнее
5107109000,"Пряжа шерстяная гребенного прядения, не расфасованная для розничной продажи: 🠺 с содержанием шерсти 85 мас.% или более: 🠺 прочая",5%,подробнее
5107201000,"Пряжа шерстяная гребенного прядения, не расфасованная для розничной продажи: 🠺 с содержанием шерсти менее 85 мас.%: 🠺 с содержанием шерсти и тонкого волоса животных 85 мас.% или более: 🠺 неотбеленная",5%,подробнее
5107203000,"Пряжа шерстяная гребенного прядения, не расфасованная для розничной продажи: 🠺 с содержанием шерсти менее 85 мас.%: 🠺 с содержанием шерсти и тонкого волоса животных 85 мас.% или более: 🠺 прочая",5%,подробнее
5107205100,смешанная в основном или исключительно с синтетическими волокнами: 🠺 неотбеленная,5%,подробнее
5107205900,смешанная в основном или исключительно с синтетическими волокнами: 🠺 прочая,5%,подробнее
5107209100,смешанная прочая: 🠺 неотбеленная,5%,подробнее
5107209900,смешанная прочая: 🠺 прочая,5%,подробнее
5108101000,аппаратного прядения: 🠺 неотбеленная,5%,подробнее
5108109000,аппаратного прядения: 🠺 прочая,5%,подробнее
5108201000,гребенного прядения: 🠺 неотбеленная,5%,подробнее
5108209000,гребенного прядения: 🠺 прочая,5%,подробнее
5109101000,"Пряжа из шерсти или тонкого волоса животных, расфасованная для розничной продажи: 🠺 с содержанием шерсти или тонкого волоса животных 85 мас.% или более: 🠺 в клубках, мотках или пасмах массой более 125 г, но не более 500 г",5%,подробнее
5109109000,"Пряжа из шерсти или тонкого волоса животных, расфасованная для розничной продажи: 🠺 с содержанием шерсти или тонкого волоса животных 85 мас.% или более: 🠺 прочая",5%,подробнее
5109900000,"Пряжа из шерсти или тонкого волоса животных, расфасованная для розничной продажи: 🠺 прочая",5%,подробнее
5110000000,"Шерсть, тонкий или грубый волос животных; пряжа и ткань, из конского волоса 🠺 Пряжа из грубого волоса животных или конского волоса (включая позументную нить из конского волоса), расфасованная или не расфасованная для розничной продажи",5%,подробнее
5111110000,Ткани из шерстяной пряжи аппаратного прядения или пряжи аппаратного прядения из тонкого волоса животных: 🠺 с содержанием шерсти или тонкого волоса животных 85 мас.% или более: 🠺 с поверхностной плотностью не более 300 г/м²,10%,подробнее
5111190000,Ткани из шерстяной пряжи аппаратного прядения или пряжи аппаратного прядения из тонкого волоса животных: 🠺 с содержанием шерсти или тонкого волоса животных 85 мас.% или более: 🠺 прочие,10%,подробнее
5111200000,"Ткани из шерстяной пряжи аппаратного прядения или пряжи аппаратного прядения из тонкого волоса животных: 🠺 прочие, смешанные в основном или исключительно с химическими нитями",10%,подробнее
5111301000,"Ткани из шерстяной пряжи аппаратного прядения или пряжи аппаратного прядения из тонкого волоса животных: 🠺 прочие, смешанные в основном или исключительно с химическими волокнами: 🠺 с поверхностной плотностью не более 300 г/м²",10%,подробнее
5111308001,"Ткани из шерстяной пряжи аппаратного прядения или пряжи аппаратного прядения из тонкого волоса животных: 🠺 прочие, смешанные в основном или исключительно с химическими волокнами: 🠺 с поверхностной плотностью более 300 г/м²: (с 01.01.2017) 🠺 с поверхностной плотностью более 300 г/м², но не более 450 г/м²",10%,подробнее
5111308009,"Ткани из шерстяной пряжи аппаратного прядения или пряжи аппаратного прядения из тонкого волоса животных: 🠺 прочие, смешанные в основном или исключительно с химическими волокнами: 🠺 с поверхностной плотностью более 300 г/м²: (с 01.01.2017) 🠺 с поверхностной плотностью более 450 г/м²",10%,подробнее
5111901000,Ткани из шерстяной пряжи аппаратного прядения или пряжи аппаратного прядения из тонкого волоса животных: 🠺 прочие: 🠺 с общим содержанием текстильных материалов группы 50 более 10 мас.%,10%,подробнее
5111909100,Ткани из шерстяной пряжи аппаратного прядения или пряжи аппаратного прядения из тонкого волоса животных: 🠺 прочие: 🠺 прочие: 🠺 с поверхностной плотностью не более 300 г/м²,10%,подробнее
5111909800,Ткани из шерстяной пряжи аппаратного прядения или пряжи аппаратного прядения из тонкого волоса животных: 🠺 прочие: 🠺 прочие: 🠺 с поверхностной плотностью более 300 г/м²,10%,подробнее
5112110000,Ткани из шерстяной пряжи гребенного прядения или пряжи гребенного прядения из тонкого волоса животных: 🠺 с содержанием шерсти или тонкого волоса животных 85 мас.% или более: 🠺 с поверхностной плотностью не более 200 г/м²,10%,подробнее
5112190000,Ткани из шерстяной пряжи гребенного прядения или пряжи гребенного прядения из тонкого волоса животных: 🠺 с содержанием шерсти или тонкого волоса животных 85 мас.% или более: 🠺 прочие,10%,подробнее
5112200001,"Ткани из шерстяной пряжи гребенного прядения или пряжи гребенного прядения из тонкого волоса животных: 🠺 прочие, смешанные в основном или исключительно с химическими нитями: (с 02.11.2019) 🠺 с поверхностной плотностью не более 200 г/м²",10%,подробнее
5112200009,"Ткани из шерстяной пряжи гребенного прядения или пряжи гребенного прядения из тонкого волоса животных: 🠺 прочие, смешанные в основном или исключительно с химическими нитями: (с 02.11.2019) 🠺 прочие",10%,подробнее
5112301000,"Ткани из шерстяной пряжи гребенного прядения или пряжи гребенного прядения из тонкого волоса животных: 🠺 прочие, смешанные в основном или исключительно с химическими волокнами: 🠺 с поверхностной плотностью не более 200 г/м²",10%,подробнее
5112308001,"Ткани из шерстяной пряжи гребенного прядения или пряжи гребенного прядения из тонкого волоса животных: 🠺 прочие, смешанные в основном или исключительно с химическими волокнами: 🠺 с поверхностной плотностью более 200 г/м²: (с 01.01.2017) 🠺 с поверхностной плотностью более 200 г/м², но не более 375 г/м²",10%,подробнее
5112308009,"Ткани из шерстяной пряжи гребенного прядения или пряжи гребенного прядения из тонкого волоса животных: 🠺 прочие, смешанные в основном или исключительно с химическими волокнами: 🠺 с поверхностной плотностью более 200 г/м²: (с 01.01.2017) 🠺 с поверхностной плотностью более 375 г/м²",10%,подробнее
5112901000,Ткани из шерстяной пряжи гребенного прядения или пряжи гребенного прядения из тонкого волоса животных: 🠺 прочие: 🠺 с общим содержанием текстильных материалов группы 50 более 10 мас.%,10%,подробнее
5112909100,Ткани из шерстяной пряжи гребенного прядения или пряжи гребенного прядения из тонкого волоса животных: 🠺 прочие: 🠺 прочие: 🠺 с поверхностной плотностью не более 200 г/м²,10%,подробнее
5112909800,Ткани из шерстяной пряжи гребенного прядения или пряжи гребенного прядения из тонкого волоса животных: 🠺 прочие: 🠺 прочие: 🠺 с поверхностной плотностью более 200 г/м²,10%,подробнее
5113000000,"Шерсть, тонкий или грубый волос животных; пряжа и ткань, из конского волоса 🠺 Ткани из грубого волоса животных или конского волоса",10%,подробнее
5201001000,"Волокно хлопковое, не подвергнутое кардо- или гребнечесанию: 🠺 гигроскопическое или отбеленное",0%,подробнее
5201009000,"Волокно хлопковое, не подвергнутое кардо- или гребнечесанию: 🠺 прочее",0%,подробнее
5202100000,Отходы хлопкового волокна (включая прядильные отходы и расщипанное сырье): 🠺 отходы прядильные (включая путанку),0%,подробнее
5202910000,Отходы хлопкового волокна (включая прядильные отходы и расщипанное сырье): 🠺 прочие: 🠺 сырье расщипанное,0%,подробнее
5202990000,Отходы хлопкового волокна (включая прядильные отходы и расщипанное сырье): 🠺 прочие: 🠺 прочие,0%,подробнее
5203000000,"Хлопок 🠺 Волокно хлопковое, подвергнутое кардо- или гребнечесанию",0%,подробнее
5204110000,не расфасованные для розничной продажи: 🠺 содержащие 85 мас.% или более хлопковых волокон,5%,подробнее
5204190000,не расфасованные для розничной продажи: 🠺 прочие,5%,подробнее
5204200000,"Нитки хлопчатобумажные швейные, расфасованные или не расфасованные для розничной продажи: 🠺 расфасованные для розничной продажи",5%,подробнее
5205110000,"пряжа однониточная из волокон, не подвергнутых гребнечесанию: 🠺 линейной плотности 714,29 дтекс или более (не выше 14 метрического номера)",5%,подробнее
5205120000,"пряжа однониточная из волокон, не подвергнутых гребнечесанию: 🠺 линейной плотности менее 714,29 дтекс, но не менее 232,56 дтекс (выше 14 метрического номера, но не выше 43 метрического номера)",5%,подробнее
5205130000,"пряжа однониточная из волокон, не подвергнутых гребнечесанию: 🠺 линейной плотности менее 232,56 дтекс, но не менее 192,31 дтекс (выше 43 метрического номера, но не выше 52 метрического номера)",5%,подробнее
5205140000,"пряжа однониточная из волокон, не подвергнутых гребнечесанию: 🠺 линейной плотности менее 192,31 дтекс, но не менее 125 дтекс (выше 52 метрического номера, но не выше 80 метрического номера)",5%,подробнее
5205151000,"линейной плотности менее 125 дтекс (выше 80 метрического номера): 🠺 линейной плотности менее 125 дтекс, но не менее 83,33 дтекс (выше 80 метрического номера, но не выше 120 метрического номера)",5%,подробнее
5205159000,"линейной плотности менее 125 дтекс (выше 80 метрического номера): 🠺 линейной плотности менее 83,33 дтекс (выше 120 метрического номера)",5%,подробнее
5205210000,"пряжа однониточная из волокон, подвергнутых гребнечесанию: 🠺 линейной плотности 714,29 дтекс или более (не выше 14 метрического номера)",5%,подробнее
5205220000,"пряжа однониточная из волокон, подвергнутых гребнечесанию: 🠺 линейной плотности менее 714,29 дтекс, но не менее 232,56 дтекс (выше 14 метрического номера, но не выше 43 метрического номера)",5%,подробнее
5205230000,"пряжа однониточная из волокон, подвергнутых гребнечесанию: 🠺 линейной плотности менее 232,56 дтекс, но не менее 192,31 дтекс (выше 43 метрического номера, но не выше 52 метрического номера)",5%,подробнее
5205240000,"пряжа однониточная из волокон, подвергнутых гребнечесанию: 🠺 линейной плотности менее 192,31 дтекс, но не менее 125 дтекс (выше 52 метрического номера, но не выше 80 метрического номера)",5%,подробнее
5205260000,"пряжа однониточная из волокон, подвергнутых гребнечесанию: 🠺 линейной плотности менее 125 дтекс, но не менее 106,38 дтекс (выше 80 метрического номера, но не выше 94 метрического номера)",5%,подробнее
5205270000,"пряжа однониточная из волокон, подвергнутых гребнечесанию: 🠺 линейной плотности менее 106,38 дтекс, но не менее 83,33 дтекс (выше 94 метрического номера, но не выше 120 метрического номера)",5%,подробнее
5205280000,"пряжа однониточная из волокон, подвергнутых гребнечесанию: 🠺 линейной плотности менее 83,33 дтекс (выше 120 метрического номера)",5%,подробнее
5205310000,"многокруточная (крученая) или однокруточная пряжа из волокон, не подвергнутых гребнечесанию: 🠺 линейной плотности для однониточной пряжи 714,29 дтекс или более (не выше 14 метрического номера для однониточной пряжи)",5%,подробнее
5205320000,"многокруточная (крученая) или однокруточная пряжа из волокон, не подвергнутых гребнечесанию: 🠺 линейной плотности для однониточной пряжи менее 714,29 дтекс, но не менее 232,56 дтекс (выше 14 метрического номера, но не выше 43 метрического номера для однониточной пряжи)",5%,подробнее
5205330000,"многокруточная (крученая) или однокруточная пряжа из волокон, не подвергнутых гребнечесанию: 🠺 линейной плотности для однониточной пряжи менее 232,56 дтекс, но не менее 192,31 дтекс (выше 43 метрического номера, но не выше 52 метрического номера для однониточной пряжи)",5%,подробнее
5205340000,"многокруточная (крученая) или однокруточная пряжа из волокон, не подвергнутых гребнечесанию: 🠺 линейной плотности для однониточной пряжи менее 192,31 дтекс, но не менее 125 дтекс (выше 52 метрического номера, но не выше 80 метрического номера для однониточной пряжи)",5%,подробнее
5205350000,"многокруточная (крученая) или однокруточная пряжа из волокон, не подвергнутых гребнечесанию: 🠺 линейной плотности для однониточной пряжи менее 125 дтекс (выше 80 метрического номера для однониточной пряжи)",5%,подробнее
